
2024/09/14 (02:08:43) | ===> btop++ v.1.3.2
2024/09/14 (02:08:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/14 (20:49:56) | ===> btop++ v.1.3.2
2024/09/14 (20:49:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/14 (20:50:42) | ===> btop++ v.1.3.2
2024/09/14 (20:50:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/14 (23:13:32) | ===> btop++ v.1.3.2
2024/09/14 (23:13:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/14 (23:13:35) | ===> btop++ v.1.3.2
2024/09/14 (23:13:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/14 (23:13:37) | ===> btop++ v.1.3.2
2024/09/14 (23:13:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/14 (23:13:39) | ===> btop++ v.1.3.2
2024/09/14 (23:13:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/14 (23:13:41) | ===> btop++ v.1.3.2
2024/09/14 (23:13:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
